State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Gujarat,Bharuch,Jambusar,Maize,Other,FAQ,2025-09-23,2000,2200,2100
Gujarat,Chhota Udaipur,Bodeliu,Maize,Deshi Red,FAQ,2025-09-23,2050,2101,2075
Gujarat,Jamnagar,Dhrol,Cotton,Other,FAQ,2025-09-23,4750,7005,5880
Haryana,Gurgaon,Gurgaon,Pomegranate,Other,Large,2025-09-23,5000,10000,7500
Haryana,Hissar,Hansi,Apple,Other,Medium,2025-09-23,5000,10000,8000
Haryana,Hissar,Hansi,Grapes,Other,Medium,2025-09-23,25000,25000,25000
Haryana,Kurukshetra,Ladwa,Apple,Apple,Medium,2025-09-23,3000,6000,4000
Himachal Pradesh,Kangra,Palampur,Apple,Apple,Medium,2025-09-23,5000,9000,7000
Himachal Pradesh,Kangra,Palampur,Banana,Banana - Ripe,Medium,2025-09-23,4200,4800,4500
Himachal Pradesh,Solan,Solan(Nalagarh),Apple,Other,Medium,2025-09-23,2000,6000,4000
Kerala,Alappuzha,Harippad,Banana,Nendra Bale,Medium,2025-09-23,5000,5500,5000
Kerala,Ernakulam,POTHANIKKADU VFPCK,Banana,Palayamthodan,Large,2025-09-23,1500,2650,2000
Kerala,Ernakulam,Thrippunithura,Banana,Palayamthodan,Medium,2025-09-23,3200,4000,3400
Kerala,Kottayam,Athirampuzha,Banana,Poovan,Medium,2025-09-23,5400,5600,5500
Kerala,Kozhikode(Calicut),Kallachi,Banana,Nendra Bale,Medium,2025-09-23,3800,4200,4000
Kerala,Thiruvananthapuram,Vamanapuram,Coconut,Other,FAQ,2025-09-23,8000,8500,8000
Madhya Pradesh,Badwani,Badwani,Cotton,Without Ginned Cotton,FAQ,2025-09-23,5550,5550,5550
Madhya Pradesh,Khargone,Khargone,Cotton,Ginned Cotton,FAQ,2025-09-23,6400,6400,6400
Maharashtra,Raigad,Mangaon,Rice,Other,Local,2025-09-23,2000,4800,3800
Maharashtra,Sangli,"Sangli(Phale, Bhajipura Market)",Apple,Other,Local,2025-09-23,5000,11000,8000
Rajasthan,Ganganagar,Sriganganagar (F&V),Apple,Apple,Medium,2025-09-23,5800,6200,6000
Rajasthan,Ganganagar,Sriganganagar (F&V),Banana,Other,Medium,2025-09-23,2600,3000,2800
Rajasthan,Ganganagar,Sriganganagar (F&V),Papaya,Other,Medium,2025-09-23,1800,2200,2000
Rajasthan,Ganganagar,Suratgarh,Cotton,American,FAQ,2025-09-23,7000,7351,7265
Uttar Pradesh,Bulandshahar,Divai,Maize,Hybrid,FAQ,2025-09-23,2225,2235,2230
Uttar Pradesh,Mau(Maunathbhanjan),Kopaganj,Apple,Delicious,Medium,2025-09-23,7000,7200,7100
Uttar Pradesh,Meerut,Sardhana,Apple,Delicious,Medium,2025-09-23,2300,2500,2400
